term,count_discordant,count_concordant,freq_discordant,freq_concordant,fold_enrichment,fisher_pval,odds_ratio
Transcription-Coupled Nucleotide Excision Repair (TC-NER),2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Metabolism of amino acids and derivatives,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
GRB2:SOS provides linkage to MAPK signaling for Integrins ,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Interleukin-10 signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Separation of Sister Chromatids,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Loss of Nlp from mitotic centrosomes,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Diseases of DNA Double-Strand Break Repair,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Interferon gamma signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RUNX2 regulates osteoblast differentiation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Transcriptional regulation by small RNAs,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Cell-extracellular matrix interactions,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NOD1/2 Signaling Pathway,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
FCGR activation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
TRIF-mediated programmed cell death,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"TICAM1, RIP1-mediated IKK complex recruitment",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Gene Silencing by RNA,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Erythropoietin activates STAT5,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Negative regulation of FGFR1 signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RND2 GTPase cycle,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Formation of ATP by chemiosmotic coupling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
IRE1alpha activates chaperones,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"SMAC, XIAP-regulated apoptotic response",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NADE modulates death signalling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
FOXO-mediated transcription of cell cycle genes,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Regulation of HSF1-mediated heat shock response,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Class A/1 (Rhodopsin-like receptors),2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RNA Polymerase I Promoter Opening,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
The role of Nef in HIV-1 replication and disease pathogenesis,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by Erythropoietin,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"Activation, myristolyation of BID and translocation to mitochondria",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Phosphorylation of Emi1,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Termination of O-glycan biosynthesis,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
CHL1 interactions,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Downstream signaling of activated FGFR1,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Activation of AMPK downstream of NMDARs,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
