entrez_id,corr_cnv_mrna,pval_cnv_mrna,corr_mrna_prot,pval_mrna_prot,corr_cnv_prot,pval_cnv_prot,n_samples_cnv_mrna,n_samples_mrna_prot,n_samples_cnv_prot,gene_symbol,category
2886,0.7378313245261326,6.862678773382633e-146,0.5707381897105828,1.1934719844357056e-72,0.5838157207687322,1.022829550360234e-76,844,827,827,GRB7,concordant
29072,0.24957477628551963,1.8873736972704425e-13,-0.09028376258123527,0.00868097431230451,-0.07766898189549244,0.024040616759360423,844,844,844,SETD2,intermediate
2908,0.014330905340657025,0.6775994156549335,0.5173994763115519,8.166097922878745e-58,0.030719137280447967,0.37762490614417704,844,827,827,NR3C1,transcriptional_discordant
2911,0.07655575881458693,0.02614564312780016,0.04337650537575969,0.21272610638274858,-0.07832067632743905,0.02429895054826001,844,827,827,GRM1,mixed_discordant
29126,0.16931170483488514,7.526582068636838e-07,0.34045778425521755,2.3875821976312753e-24,0.07911325890879076,0.02152935736994284,844,844,844,CD274,intermediate
2931,0.35322363147354346,3.3239338549374227e-26,0.22858635653847495,1.8154326692520274e-11,0.11441442711427027,0.0008686293816561401,844,844,844,GSK3A,intermediate
2932,0.24217264966846044,9.927091108018673e-13,0.3113820893855911,4.730385115723723e-20,0.2017934168502736,4.780170012558897e-09,844,827,827,GSK3B,intermediate
2956,0.28228746883782374,6.305742735472856e-17,0.44640815179137816,1.4213130071598884e-42,0.2862498439068101,2.216904606913849e-17,844,844,844,MSH6,intermediate
29904,0.34119343160154136,1.8763080842228556e-24,0.4016685583618611,4.600926042119566e-34,0.21628167600491105,2.1625194372304927e-10,844,844,844,EEF2K,concordant
3002,-0.033298833958986016,0.3339334872692103,-0.182509393551707,1.2567346026690386e-07,0.035798369065529946,0.30383322297956633,844,827,827,GZMB,mixed_discordant
301,0.05257665909187084,0.12695206511425922,0.6146801893128593,7.671311561715983e-89,0.0367380704412236,0.2863871663898578,844,844,844,ANXA1,transcriptional_discordant
3014,0.2880688113074852,1.3642673573388505e-17,0.17400007242207544,4.785701400010403e-07,0.06424802872816546,0.06478581164430589,844,827,827,H2AFX,intermediate
3020,0.3878701514004632,1.0904535679620756e-31,0.06249129174477999,0.07247263616295016,-0.100970640314224,0.003652474621536793,844,827,827,H3-3A,post_transcriptional_discordant
3084,0.004208169165693679,0.9028406274644237,0.3828568978354677,7.461838692287585e-31,-0.023188556105145426,0.5011009319754672,844,844,844,NRG1,transcriptional_discordant
3098,0.3261435850556495,2.285642129938833e-22,0.38351194039155717,2.2708371304801932e-30,0.3385455509622245,1.2659031034419262e-23,844,827,827,HK1,concordant
3099,0.1808754656642838,1.218859261780976e-07,0.4380557403262426,4.2737948349168205e-40,0.2558718306902247,7.906791388032612e-14,844,827,827,HK2,intermediate
310,0.38728849197511056,1.3653983093788713e-31,0.3293049365327339,8.520393425093638e-23,0.1843350040187338,6.906398282135445e-08,844,844,844,ANXA7,concordant
3117,-0.02239389351852234,0.5158876616453465,0.6128571489307795,1.92997602537171e-86,-0.015519962426481496,0.655836533677837,844,827,827,HLA-DQA1,transcriptional_discordant
3280,-0.0030294686436244667,0.9299713276723035,0.5356894114813594,1.324536588810597e-62,-0.004813363769044086,0.8900726655448026,844,827,827,HES1,transcriptional_discordant
330,0.1322109322221176,0.0001170713790327127,0.3265524458265644,5.302362624108923e-22,0.015545621831875637,0.6553042301489359,844,827,827,BIRC3,transcriptional_discordant
3303,0.08586669387109563,0.012578517696877812,-0.021330796796102645,0.5360168722708004,-0.02539893825774508,0.46117885926282687,844,844,844,HSPA1A,mixed_discordant
3309,0.1445433022734177,2.496050819473064e-05,0.2517508137244263,2.0201077645332297e-13,0.15058138293448053,1.369911916829485e-05,844,827,827,HSPA5,intermediate
331,0.12761648508493947,0.00020145341543437468,0.25812736002420505,4.698267318861924e-14,0.07558372671274777,0.029748033491222244,844,827,827,XIAP,intermediate
3310,0.18394293805506715,7.36965052717388e-08,-0.03738919033004823,0.2828348364582095,0.027580042205371063,0.42830991475603586,844,827,827,HSPA9,intermediate
3315,0.1482769537463213,1.5236555059326482e-05,0.08502335922547272,0.01445311083287871,0.0075321692230801846,0.8287674645460459,844,827,827,HSPB1,mixed_discordant
3329,0.37324853413887193,2.713748097817275e-29,0.4828278697212288,1.6124747572304911e-49,0.32199357682771457,2.1006695083231163e-21,844,827,827,HSPD1,concordant
34,0.15608233903320087,5.2215848185995256e-06,0.01839364952275876,0.5936047664311713,-0.05317350846215389,0.12268955454771549,844,844,844,ACACA,intermediate
340061,0.1076845640443046,0.0017309143500801741,0.38992118693105604,2.0177722323747695e-31,0.04665772259676973,0.18009419085263603,844,827,827,TMEM173,transcriptional_discordant
3480,0.3787035256789165,3.580223953715182e-30,0.1459873628165821,2.065199826004194e-05,0.060316788503817206,0.07989396768440275,844,844,844,IGF1R,post_transcriptional_discordant
3485,0.10391382474941194,0.0025062730652196732,0.749578061566865,4.785600351700537e-153,0.08547688644876071,0.012987412766202664,844,844,844,IGFBP2,transcriptional_discordant
3486,-0.06391966125321658,0.06343650697869248,0.14336060944234097,3.505539653532972e-05,-0.006480762841367223,0.8523731677557461,844,827,827,IGFBP3,mixed_discordant
3569,-0.06668788503922915,0.05278448465445808,0.18159802349427256,1.4546772524623443e-07,-0.04343386590764994,0.21212127334960892,844,827,827,IL6,intermediate
3620,0.019034102246856057,0.580809209179344,0.8015804370051347,1.7785986449941568e-186,0.03459607159877687,0.3203724016550549,844,827,827,IDO1,transcriptional_discordant
3643,0.23460407079019036,5.124195782574799e-12,0.5171051300577447,9.699209910776152e-58,0.1326184860256323,0.0001308100052663991,844,827,827,INSR,intermediate
3659,0.042209300067170365,0.22058291413032557,0.24338711210039315,7.588535975839179e-13,0.012343604961653258,0.7202799945027861,844,844,844,IRF1,intermediate
3661,0.2543715094724285,6.25078676962684e-14,0.28150482036257274,1.5762919917636323e-16,0.26197706281677136,1.9098844105619888e-14,844,827,827,IRF3,intermediate
3667,0.019126374985463903,0.5789763743669725,0.5516831813855876,2.196244365069155e-68,0.08501352463002099,0.013488696714251928,844,844,844,IRS1,transcriptional_discordant
