gene_a,gene_b,gene_a_label,gene_b_label,corr_mrna,corr_protein,corr_cross_ab,corr_cross_ba,n_samples_mrna,n_samples_protein,predicate_group
8344,8339,HIST1H2BC (human),HIST1H2BF (human),0.5736680097882052,,,,878,0,genetically interacts with
113179,90850,ADAT3 (human),ZNF598 (human),0.5134920989361615,,,,878,0,genetically interacts with
728379,728369,USP17L28 (human),USP17L27 (human),,,,,0,0,genetically interacts with
7730,100131827,ZNF177 (human),ZNF717 (human),,,,,0,0,genetically interacts with
80319,63947,CXXC4 (human),DMRTC1 (human),0.1343085569008265,,,,878,0,genetically interacts with
8360,8362,HIST2H4B (human),HIST2H4A (human),0.6227577118837719,,,,878,0,genetically interacts with
8362,391746,HIST2H4A (human),TAF11L4,,,,,878,0,genetically interacts with
729384,399939,TRIM49L1 (human),TRIM49L1 (human),-0.0021173255894951525,,,,878,0,genetically interacts with
8364,554313,HIST1H4E (human),HIST1H4J (human),0.13759484692067905,,,,878,0,genetically interacts with
729422,729431,GAGE12D (human),GAGE12B (human),,,,,878,0,genetically interacts with
90332,8354,EXOC3L2 (human),HIST1H3H (human),-0.17545543590758422,,,,878,0,genetically interacts with
100419780,6759,ZNF722,SSX4B (human),,,,,0,0,genetically interacts with
284391,54816,ZNF844 (human),ZNF280D (human),0.5450829697806931,,,,878,0,genetically interacts with
643909,105180390,SPDYE9,SPDYE13,,,,,0,0,genetically interacts with
723790,8294,HIST2H2AA3 (human),HIST1H4D (human),,,,,0,0,genetically interacts with
646103,646066,TAF11L3,TAF11L5,,,,,0,0,genetically interacts with
8347,3021,HIST1H2BI (human),H3F3A (human),0.11699852081447623,,,,878,0,genetically interacts with
3012,8346,HIST1H2AB (human),HIST1H2BI (human),0.3495574684715509,,,,878,0,genetically interacts with
548593,552900,SLX1B (human),BOLA2 (human),,,,,0,0,genetically interacts with
29901,25920,SAC3D1 (human),NELFB (human),0.48578835938942055,,,,878,0,genetically interacts with
102723713,9081,TP53TG3 (human),PRY2 (human),,,,,0,0,genetically interacts with
8337,102724334,HIST2H2AA4 (human),H2BS1 (human),,,,,0,0,genetically interacts with
727837,100419780,SSX2 (human),ZNF722,0.08671646198583569,,,,878,0,genetically interacts with
8353,8332,HIST1H3J (human),HIST1H2AI (human),0.20906449736962396,,,,878,0,genetically interacts with
59283,90332,CACNG8 (human),EXOC3L2 (human),0.21389076462759204,,,,878,0,genetically interacts with
653604,8968,HIST2H3D (human),HIST1H3C (human),0.5252461166316391,,,,878,0,genetically interacts with
10061,121504,ABCF2 (human),HIST1H4E (human),-0.20199619406567165,,,,878,0,genetically interacts with
8353,723790,HIST1H3J (human),HIST2H2AA3 (human),,,,,0,0,genetically interacts with
29057,727866,FAM156A (human),FAM156B (human),,,,,0,0,genetically interacts with
554313,8294,HIST1H4J (human),HIST1H4D (human),0.3172799637284994,,,,878,0,genetically interacts with
8339,3020,HIST1H2BF (human),H3F3B (human),0.0704091097583801,,0.00015414713239937042,,878,0,genetically interacts with
440686,114483833,H3-2 (human),H2BE1 (human),0.15854060258396652,,,,878,0,genetically interacts with
29122,442862,PRSS50 (human),PRY2 (human),,,,,0,0,genetically interacts with
8329,8350,HIST1H2AI (human),HIST1H3E (human),0.29497646296213853,,,,878,0,genetically interacts with
8356,114483833,HIST1H3D (human),H2BE1 (human),-0.0781683177444019,,,,878,0,genetically interacts with
723790,115482686,HIST2H2AA3 (human),H2AL3,,,,,0,0,genetically interacts with
8352,8351,HIST1H3A (human),HIST1H3F (human),0.11631205009712514,,,,878,0,genetically interacts with
8351,8337,HIST1H3F (human),HIST2H2AA4 (human),,,,,0,0,genetically interacts with
100526739,8368,CENPS (human),HIST1H4A (human),-0.035673997840606805,,,,878,0,genetically interacts with
8361,8336,HIST1H4A (human),HIST1H2AG (human),0.04596472568129861,,,,878,0,genetically interacts with
653282,728049,CT47A4 (human),CT47A12 (human),,,,,0,0,genetically interacts with
8969,440686,HIST1H2AG (human),H3-2 (human),0.10250058932317409,,,,878,0,genetically interacts with
339366,8294,ADAMTSL5 (human),HIST1H4D (human),-0.0990976240518395,,,,878,0,genetically interacts with
339366,102723526,ADAMTSL5 (human),LINC02218,-0.038108158883178186,,,,878,0,genetically interacts with
8365,8353,HIST1H4L (human),HIST1H3J (human),0.5600869214126489,,,,878,0,genetically interacts with
100529215,100529240,ZNF177 (human),ZNF816-ZNF321P,,,,,878,0,genetically interacts with
653604,8358,HIST2H3D (human),HIST1H3E (human),0.49526123206312267,,,,878,0,genetically interacts with
8344,3012,HIST1H2BC (human),HIST1H2AB (human),0.4222884440654261,,,,878,0,genetically interacts with
24150,23467,TP53TG3B (human),NPTXR (human),,,,,0,0,genetically interacts with
5456,80319,POU3F4,CXXC4 (human),-0.08627210163488305,,,,878,0,genetically interacts with
646103,8365,TAF11L3,HIST1H4L (human),0.0121717605903731,,,,878,0,genetically interacts with
728072,727838,CT47A3 (human),LOC727838,,,,,0,0,genetically interacts with
440519,100419780,ZNF724 (human),ZNF722,0.06637981423831284,,,,878,0,genetically interacts with
4101,81557,MAGEA2B (human),MAGED4 (human),-0.0171744655408148,,,,878,0,genetically interacts with
121504,8365,HIST1H4E (human),HIST1H4L (human),0.4425969124020021,,,,878,0,genetically interacts with
8352,126961,HIST1H3A (human),HIST2H3D (human),0.17804112992887489,,,,878,0,genetically interacts with
642819,548313,ZNF487 (human),SSX4 (human),-0.022462381588627373,,,,878,0,genetically interacts with
90332,5463,EXOC3L2 (human),POU6F1 (human),0.3356720123322882,,,,878,0,genetically interacts with
8343,8363,HIST1H2BG (human),HIST1H4B (human),0.37617080517146134,,,,878,0,genetically interacts with
54865,8363,GPATCH4 (human),HIST1H4B (human),-0.0814069400190891,,,,878,0,genetically interacts with
114483833,8346,H2BE1 (human),HIST1H2BI (human),-0.006928564869979182,,,,878,0,genetically interacts with
4101,392433,MAGEA2B (human),MAGEB6B,0.2826898384500607,,,,878,0,genetically interacts with
401661,9596,OR51C1P,OR1R1P,0.03672617495414103,,,,878,0,genetically interacts with
148345,9085,C1orf127 (human),CDY1B (human),,,,,878,0,genetically interacts with
8360,8350,HIST2H4B (human),HIST1H3E (human),0.4872504822987431,,,,878,0,genetically interacts with
442572,643909,SPDYE21,SPDYE9,,,,,0,0,genetically interacts with
8336,3021,HIST1H2AG (human),H3F3A (human),0.1249217541871342,,,,878,0,genetically interacts with
333932,114483833,HIST2H3C (human),H2BE1 (human),-0.047637929833576044,,,,878,0,genetically interacts with
100526737,340529,RBM14 (human),PABPC1L2B (human),0.030279385561104176,,,,878,0,genetically interacts with
100130086,86614,HSFX2 (human),HSFY1,,,,,0,0,genetically interacts with
8294,8357,HIST1H4D (human),HIST1H3E (human),0.6769516228597441,,,,878,0,genetically interacts with
8366,8330,HIST1H4D (human),HIST1H2AG (human),,,,,878,0,genetically interacts with
100507170,255313,CT47A9 (human),CT47A9 (human),,,,,878,0,genetically interacts with
8351,653604,HIST1H3F (human),HIST2H3D (human),0.16984659032579372,,,,878,0,genetically interacts with
8366,100526739,HIST1H4D (human),CENPS (human),-0.027713171184259262,,,,878,0,genetically interacts with
8365,8356,HIST1H4L (human),HIST1H3D (human),0.5819627511104086,,,,878,0,genetically interacts with
727838,255313,LOC727838,CT47A9 (human),,,,,878,0,genetically interacts with
727924,390073,LINC02203,OR56B2P,0.05008640015254443,,,,878,0,genetically interacts with
8354,8368,HIST1H3H (human),HIST1H4A (human),0.8618259773704517,,,,878,0,genetically interacts with
8355,8352,HIST1H3J (human),HIST1H3A (human),0.5111115022681118,,,,878,0,genetically interacts with
390073,442197,OR56B2P,OR2I1P,0.16981917853060674,,,,878,0,genetically interacts with
474381,8969,H2AFB3 (human),HIST1H2AG (human),0.038669427422646896,,,,878,0,genetically interacts with
